call_id,primary_call_reason
4667960400,Voluntary  Cancel
1122072124,Booking
6834291559,IRROPS
2266439882,Upgrade
1211603231,Seating
5297766997,Mileage   Plus
0324593040,Checkout
8902603117,Mileage   Plus
7222687732,Mileage   Plus
4113684017,IRROPS
4431106905,IRROPS
6935939312,Voluntary   Change
7892954313,Post Flight
1548659870,Seating
3313876732,Check In
9009313118,Post Flight
2421825046,Checkout
6365916412,Other  Topics
5889442998,Check In
7310794085,Post Flight
9929408549,IRROPS
8509547639,Seating
1093484785,Post Flight
7602289538,Communications
8627682007,Check In
2530572183,Voluntary   Change
7677239872,Schedule Change
8607543793,Mileage   Plus
6102160207,Products & Services
8652716010,Seating
0288434426,Upgrade
5289798109,Products & Services
3107888571,Mileage   Plus
5737349741,Upgrade
7890159923,Seating
5969151433,Mileage   Plus
3311768452,Voluntary  Cancel
2200682864,Post Flight
3283019500,Communications
3042091300,Seating
3241712240,Seating
3715152001,Voluntary   Change
4165389905,IRROPS
2141788986,Products & Services
7348382478,IRROPS
5925798000,Communications
9724788339,Voluntary   Change
0845866474,Mileage   Plus
5023614450,IRROPS  
5356883601,Mileage   Plus
9983959358,Check In
9455719171,Voluntary   Change
1461417732,Digital   Support
2492747146,Mileage   Plus
3099385981,Voluntary   Change
6354983973,Post Flight
4290559626,Seating
9653448853,Voluntary   Change
6788681378,Seating  
2326492285,Disability
1804143506,Voluntary   Change
9508402335,Post Flight
4541295276,Mileage   Plus
8837237031,IRROPS
3944632548,Seating
3991780429,Voluntary   Change
4630350249,Post Flight
3006081887,Unaccompanied Minor
5745907727,Seating
2517801923,Voluntary   Change
5347725511,Seating
3265727999,IRROPS
0291609054,Products & Services
5725811355,Schedule Change
2855340256,IRROPS
1818595932,Communications
5706266824,Post Flight
3209820220,Upgrade
4498597955,IRROPS
3494281557,Seating
7488458159,IRROPS
2845747512,Products & Services
4126649116,Voluntary   Change
0691446525,Post Flight
8824481397,Communications
3703662675,Seating
5466016706,Mileage   Plus
2894499901,IRROPS
3817230689,Post Flight
3182938486,Mileage   Plus
3397199569,IRROPS
7836953676,Post Flight
6627861747,Communications
4886165173,Post Flight
8239912427,Mileage   Plus
8691681579,IRROPS
6498077982,Voluntary   Change
0815115244,IRROPS
1162237184,Mileage   Plus
3723048188, Baggage
1286275736,Seating
4155225595,Mileage   Plus
9310693795,Seating
5120262550,Voluntary   Change
4963458977,Communications
4458776244,Seating
6865223937,IRROPS
2221555263,IRROPS
7593460378,Voluntary   Change
5555212163,Traveler  Updates
5633809296,IRROPS
9748102747,IRROPS
2457729996,Communications
9452610855,Voluntary   Change
3628122319,Booking
8966807387,Voluntary   Change
0355940870,Checkout
3266080628,Upgrade
9426822806,IRROPS
2150175631,Checkout
5892797648,IRROPS
5842119015,Seating
6308193786,Upgrade
6964421535,Voluntary   Change
6794219624,Mileage   Plus
9993775527,IRROPS
5450426391,IRROPS
2018280855,Voluntary   Change
0915962130,Seating
7127665247,Voluntary   Change
3666446277,Digital   Support
8984455291,Checkout
1525233923,Upgrade
5431519237,Voluntary   Change
4346744236,IRROPS
4816340535,IRROPS
4809910796,Booking
5217078198,Checkout
0367804319,Voluntary  Cancel
0972292759,Booking
4675010716, Baggage
8614154068,Traveler  Updates
6186829781,Products & Services
9216262244,IRROPS
9761028950,Voluntary   Change
3766236397,Mileage   Plus
2593524963,IRROPS
3384912975,Post Flight
2049935935,IRROPS
2684115029,Upgrade
0585740895,Seating
4124838721,IRROPS
4143899688,Seating
5888839821,Voluntary  Cancel
5887855579,Mileage   Plus
2328809947,Booking
2258976474,Products & Services
9493952202,IRROPS
8350670977,Mileage   Plus
0998095929,IRROPS
5974121962,IRROPS
5702105939,Post Flight
4808821794,Products & Services
0471919827,Seating
8245792247,IRROPS
3326242904,Voluntary   Change
0625472288,IRROPS
0529250087,Booking
0369511808,Post Flight
1790444108,Seating
9275253129,IRROPS  
3063375824,Post Flight
3857653673,Mileage   Plus
8567122492,IRROPS
8487711690,Seating
1865141600, Baggage
0186231552,IRROPS
1356740595, Baggage
3339020161,Check In
9795806060,IRROPS
2338361322,Checkout
7043032013,Voluntary   Change
5678060132,IRROPS
9049645827,Seating
0345016507,Communications  
8984018889,Voluntary   Change
6761810180,Post Flight
1467423538,Communications
3994254298,Voluntary   Change
0800257006,IRROPS
7458094693,Communications
2764587410,Seating
7784917409,Voluntary   Change
1841063213,IRROPS
9605740557,Voluntary   Change
9796254073,Communications
3794126636,Seating
1940316635,Voluntary   Change
9252806416,Voluntary  Cancel
7096455143,Voluntary  Cancel
9424672408,Voluntary  Cancel
7841630165,Upgrade
7647377134,Voluntary   Change
6445984989,IRROPS
1090870234,Mileage   Plus
7130234576,Seating
4593315374,Schedule Change
2637809196,Booking
2096708473,Voluntary   Change
