call_id,agent_id,agent_tone,customer_tone,average_sentiment,silence_percent_average
4667960400,963118,neutral,angry,-0.04,0.39
1122072124,519057,calm,neutral,0.02,0.35
6834291559,158319,neutral,polite,-0.13,0.32
2266439882,488324,neutral,frustrated,-0.2,0.2
1211603231,721730,neutral,polite,-0.05,0.35
5297766997,817160,calm,calm,0.1,0.11
0324593040,519057,neutral,frustrated,0,0.25
8902603117,488324,calm,angry,0.11,0.35
7222687732,957331,calm,neutral,0.06,0.54
4113684017,158319,neutral,angry,-0.19,0.29
4431106905,721730,neutral,frustrated,-0.01,0.23
7732610078,488324,neutral,neutral,-0.06,0.58
6935939312,963118,neutral,polite,-0.03,0.04
7892954313,519057,calm,angry,0.26,0.22
1548659870,721730,neutral,frustrated,0,0.33
3313876732,158319,neutral,angry,-0.03,0.24
9009313118,963118,neutral,angry,-0.04,0.33
2421825046,519057,neutral,calm,-0.12,0.35
6365916412,721730,neutral,calm,-0.09,0.19
5889442998,817160,calm,neutral,0.08,0.45
7310794085,957331,calm,frustrated,0.14,0.72
9929408549,519057,neutral,frustrated,-0.13,0.49
8509547639,721730,neutral,angry,-0.1,0.64
1093484785,817160,calm,polite,0.08,0.37
7602289538,158319,neutral,neutral,-0.18,0.11
8627682007,721730,calm,polite,0.5,0.33
2530572183,957331,neutral,polite,-0.09,0.05
7677239872,519057,calm,neutral,0.11,0.2
8607543793,158319,calm,polite,0.04,0.29
6102160207,963118,neutral,neutral,-0.08,0.17
8652716010,519057,neutral,calm,-0.03,0.42
0288434426,488324,neutral,angry,-0.13,0.25
5289798109,721730,neutral,angry,-0.14,0.18
2400299738,963118,calm,angry,0.01,0.4
3107888571,519057,neutral,calm,-0.2,0.63
5737349741,158319,neutral,angry,-0.06,0.51
7890159923,488324,neutral,polite,-0.06,0.5
5969151433,721730,calm,frustrated,0.02,0.33
3311768452,963118,neutral,frustrated,0,0
2200682864,963118,neutral,calm,-0.07,0.42
3283019500,158319,calm,angry,0.1,0.47
3042091300,721730,calm,neutral,0.12,0.08
3241712240,817160,neutral,neutral,0,0.08
3715152001,488324,calm,calm,0.44,0.03
4165389905,957331,calm,calm,0.05,0.46
2141788986,721730,calm,calm,0.13,0.38
7348382478,488324,neutral,polite,-0.13,0.2
5925798000,817160,calm,angry,0.04,0.15
6533095063,519057,neutral,calm,0,0.49
9724788339,817160,calm,calm,0.1,0.23
0845866474,957331,calm,angry,0.15,0.33
5023614450,964561,neutral,angry,-0.14,0.08
5356883601,963118,calm,frustrated,0.18,0.27
9983959358,519057,neutral,polite,-0.17,0.4
9455719171,963118,neutral,polite,-0.1,0.16
1461417732,519057,calm,polite,0.1,0.48
7774450920,963118,calm,angry,0.02,0.28
9214147168,158319,neutral,frustrated,-0.12,0.12
2492747146,963118,neutral,frustrated,-0.17,0.06
3099385981,519057,neutral,frustrated,-0.13,0.08
6354983973,158319,neutral,angry,-0.02,0.25
4290559626,488324,calm,neutral,0.07,0.73
9653448853,721730,neutral,angry,-0.18,0.12
6788681378,519057,neutral,frustrated,-0.05,0.22
2326492285,963118,calm,angry,0.15,0.08
1804143506,963118,calm,angry,0.08,0.16
2931134074,519057,calm,frustrated,0.11,0.37
9508402335,158319,neutral,calm,-0.04,0.41
4541295276,488324,neutral,calm,-0.04,0.24
8837237031,721730,neutral,frustrated,-0.01,0.4
3944632548,817160,calm,polite,0.12,0.43
3991780429,519057,neutral,calm,-0.06,0.27
4630350249,963118,neutral,calm,-0.13,0.07
3006081887,963118,neutral,frustrated,-0.16,0.54
5745907727,519057,calm,calm,0.1,0.06
2517801923,721730,neutral,angry,-0.02,0.09
5347725511,721730,neutral,calm,-0.11,0.18
3265727999,519057,neutral,angry,0,0.12
0291609054,519057,calm,polite,0.02,0.28
5725811355,158319,neutral,frustrated,-0.19,0.49
2855340256,519057,neutral,polite,-0.04,0.27
2010588624,963118,neutral,calm,-0.09,0.34
1818595932,519057,calm,neutral,0.03,0.05
5706266824,963118,neutral,neutral,-0.12,0.33
3209820220,519057,neutral,polite,0,0.43
4498597955,488324,calm,frustrated,0.06,0.13
6611494442,721730,neutral,neutral,0,0.08
3494281557,964561,neutral,frustrated,-0.01,0.31
7488458159,721730,neutral,calm,-0.09,0.25
2845747512,519057,neutral,frustrated,-0.23,0.19
4126649116,957331,neutral,angry,-0.05,0.57
0691446525,817160,frustrated,polite,-0.38,0.01
8824481397,878048,calm,calm,0.09,0.46
8655666048,274746,calm,angry,0.01,0.4
3703662675,828869,frustrated,neutral,-0.28,0.25
5466016706,758927,calm,polite,0.03,0.16
2894499901,524049,calm,angry,0.04,0.51
3817230689,922729,neutral,neutral,-0.12,0.27
3182938486,878048,calm,polite,0.03,0.22
3397199569,828869,neutral,frustrated,-0.05,0.38
7836953676,758927,neutral,polite,-0.11,0.45
6627861747,274746,neutral,calm,0,0.35
4886165173,964561,neutral,frustrated,-0.15,0.41
8239912427,274746,neutral,angry,-0.02,0.06
8691681579,828869,calm,polite,0.07,0.1
6498077982,524049,calm,polite,0.14,0.07
0815115244,274746,neutral,frustrated,-0.06,0.29
1162237184,828869,neutral,frustrated,-0.18,0.16
3723048188,878048,neutral,polite,0,0.55
3564872843,878048,neutral,angry,0,0.18
1286275736,274746,calm,polite,0.2,0.45
4155225595,878048,calm,neutral,0.22,0.1
9310693795,758927,frustrated,angry,-0.28,0.2
5120262550,524049,neutral,polite,-0.21,0.2
4963458977,274746,frustrated,frustrated,-0.28,0.09
4458776244,878048,neutral,angry,-0.04,0.57
6865223937,828869,calm,calm,0.05,0.23
2221555263,274746,neutral,angry,-0.05,0.38
7593460378,758927,calm,polite,0.02,0.1
5555212163,964561,neutral,frustrated,-0.07,0.19
5633809296,964561,calm,polite,0.02,0.24
9748102747,878048,neutral,angry,-0.11,0.13
2457729996,964561,calm,frustrated,0.31,0.21
9452610855,964561,neutral,calm,-0.13,0.34
3628122319,878048,calm,neutral,0.08,0.39
8966807387,964561,neutral,neutral,-0.06,0.09
0355940870,878048,neutral,calm,-0.07,0.4
3266080628,878048,neutral,frustrated,-0.02,0.02
9426822806,878048,neutral,neutral,0,0.35
2150175631,878048,calm,neutral,0.12,0.05
5892797648,878048,neutral,calm,-0.08,0.2
5842119015,274746,neutral,polite,-0.12,0.1
6308193786,878048,neutral,frustrated,-0.03,0.11
6964421535,274746,calm,neutral,0.2,0.62
6794219624,828869,calm,neutral,0.09,0.25
6581088938,758927,calm,angry,0.11,0.3
9993775527,524049,neutral,frustrated,-0.18,0.07
5450426391,922729,neutral,angry,-0.15,0.66
2018280855,915618,neutral,polite,-0.12,0.41
0915962130,878048,calm,angry,0.04,0
7127665247,274746,neutral,polite,0,0.07
3666446277,524049,calm,polite,0.07,0.16
8984455291,274746,frustrated,polite,-0.38,0.03
1525233923,878048,calm,calm,0.1,0.05
5431519237,758927,neutral,calm,0,0.18
4346744236,825827,neutral,polite,-0.03,0.21
4816340535,788537,neutral,calm,0,0.72
4809910796,499403,neutral,angry,-0.22,0.44
5217078198,274746,neutral,neutral,-0.03,0.36
0367804319,131036,neutral,calm,0,0.31
0972292759,289402,calm,calm,0.35,0.23
4675010716,814752,neutral,polite,-0.04,0.34
8614154068,462743,neutral,polite,-0.15,0.23
6186829781,215457,calm,angry,0.01,0.13
9216262244,436472,calm,calm,0.06,0.19
9761028950,758927,neutral,polite,-0.04,0.41
3766236397,153460,calm,angry,0.32,0.37
2593524963,607742,neutral,frustrated,-0.09,0.3
2890018342,524049,neutral,polite,-0.12,0.62
3384912975,828869,calm,polite,0.05,0.42
2049935935,289402,frustrated,calm,-0.3,0.28
7765452553,915618,calm,neutral,0.06,0.53
2684115029,131036,neutral,polite,-0.01,0.1
0585740895,814752,calm,frustrated,0.01,0.14
4124838721,462743,neutral,angry,-0.1,0.29
4143899688,215457,angry,frustrated,-0.94,0.02
5888839821,499403,neutral,frustrated,-0.08,0.42
5887855579,436472,neutral,polite,-0.1,0.35
2328809947,153460,neutral,angry,0,0.29
2258976474,607742,neutral,neutral,-0.04,0.2
9493952202,600666,neutral,neutral,0,0.13
8350670977,376343,calm,neutral,0.03,0.11
0998095929,619806,frustrated,calm,-0.42,0.3
5974121962,369972,frustrated,angry,-0.3,0.18
5702105939,922729,calm,frustrated,0.38,0.34
4808821794,499403,neutral,neutral,0,0.39
0471919827,215457,neutral,calm,-0.06,0.23
8245792247,922729,neutral,frustrated,-0.18,0.13
3326242904,788537,neutral,calm,-0.08,0.11
0625472288,274746,neutral,neutral,0,0.57
0529250087,499403,calm,polite,0.18,0.12
0369511808,788537,calm,neutral,0.06,0.2
1790444108,499403,neutral,calm,-0.05,0.62
9275253129,289402,neutral,neutral,-0.07,0.4
3063375824,215457,neutral,neutral,-0.03,0.43
7769577839,153460,neutral,angry,-0.22,0.3
3857653673,607742,angry,neutral,-0.63,0.16
8567122492,619806,neutral,neutral,-0.03,0.27
8487711690,915618,neutral,polite,0,0.35
0767542571,878048,calm,polite,0.33,0.1
1865141600,915618,calm,angry,0.16,0.08
0186231552,131036,calm,frustrated,0.03,0.58
1356740595,524049,neutral,frustrated,-0.06,0.23
3339020161,814752,neutral,frustrated,0,0.1
9795806060,436472,neutral,polite,-0.08,0.31
2338361322,915618,neutral,angry,0,0.14
7043032013,153460,neutral,frustrated,-0.07,0.09
5678060132,878048,calm,polite,0.01,0.66
9049645827,369972,neutral,angry,0,0.33
0345016507,524049,neutral,frustrated,0,0.06
8984018889,814752,calm,angry,0.02,0.68
6761810180,153460,neutral,frustrated,0,0
1467423538,600666,neutral,polite,-0.06,0.37
3994254298,828869,calm,angry,0.11,0.52
0800257006,436472,frustrated,neutral,-0.36,0.23
7458094693,788537,neutral,frustrated,-0.1,0.17
2321172423,758927,neutral,frustrated,-0.1,0.02
2764587410,524049,calm,angry,0.1,0.53
7784917409,758927,calm,neutral,0.08,0.37
1841063213,215457,neutral,polite,-0.07,0.7
9605740557,524049,neutral,frustrated,-0.12,0.07
9796254073,922729,neutral,neutral,0,0.09
3794126636,758927,neutral,angry,0,0.68
1940316635,499403,neutral,frustrated,-0.22,0.28
9252806416,289402,calm,angry,0.05,0.17
7062397166,462743,frustrated,angry,-0.39,0.07
7096455143,436472,neutral,polite,-0.14,0.15
9424672408,524049,neutral,neutral,-0.15,0.35
7841630165,915618,neutral,frustrated,-0.1,0
7647377134,788537,neutral,polite,0,0.16
6445984989,215457,neutral,frustrated,-0.21,0.08
3324493822,289402,calm,angry,0.09,0.32
1090870234,814752,neutral,calm,-0.09,0.33
7130234576,153460,neutral,neutral,-0.01,0.45
4593315374,915618,neutral,polite,-0.06,0.52
2637809196,825827,neutral,calm,0,0.21
2096708473,788537,neutral,frustrated,-0.02,0.42
7689704398,131036,neutral,frustrated,-0.03,0.34
6655849241,215457,neutral,polite,-0.16,0.06
5401438897,274746,neutral,neutral,-0.04,0.55
9388435740,828869,neutral,polite,0,0.38
6626993147,758927,calm,frustrated,0.17,0.34
7655517504,922729,neutral,polite,-0.14,0.02
3145934504,825827,neutral,polite,-0.14,0.08
5123350455,499403,calm,angry,0.18,0.08
